Gene,UF_1,UF_2,UF_3,DF_1,DF_2,DF_3
A1BG,0.0918248,0.055807,0.0729067,0.116929,0.0590997,0.0194404
A1CF,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
A2M,73.3114,72.7699,62.5341,118.427,106.021,85.1985
A2ML1,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
A3GALT2,1.84E-06,1.86E-06,1.82E-06,0.0194898,0.0197012,1.94E-06
A4GALT,30.5036,24.8705,23.2566,27.8481,32.8189,32.4621
A4GNT,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
AAAS,35.26,38.0963,38.4573,38.9367,35.695,38.0993
AACS,40.8061,50.3176,51.4708,57.5865,58.6446,59.7148
AADAC,0.146919,0.372036,0.218716,0.409246,0.334889,0.097194
AADACL2,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
AADACL3,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
AADACL4,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
AADAT,0.110189,0.130214,0.109359,0.350783,0.275791,0.194386
AAGAB,40.5674,47.2483,46.0212,46.4589,42.5897,43.7753
AAK1,171.305,202.387,178.052,199.555,189.566,182.002
AAMDC,12.8552,10.2309,9.89683,12.9204,14.0259,13.5874
AAMP,65.433,68.2311,66.635,69.2402,64.9484,67.6457
AANAT,0.0550956,0.111612,0.018228,0.0194898,1.97E-06,0.0194404
AAR2,32.7808,32.5716,32.4062,35.7406,34.6707,36.8747
AARD,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
AARS1,149.488,207.539,197.572,168.589,158.48,163.341
AARS2,22.111,23.3823,23.0744,22.6643,21.1964,21.6155
AARSD1,2.14866,1.80437,1.91375,2.12417,1.71384,1.78834
AASDH,12.1206,12.612,12.6672,11.946,11.1695,10.9827
